,lat,lng,cluster
1592,35.21860993,126.84470673,0
73,35.21980426,126.84573439,0
1537,35.21916544,126.84578996,0
1705,35.21976445092885,126.84648168850616,0
346,35.21944319,126.8457344,0
1338,35.21980426,126.84573439,0
1120,35.21822111,126.84623438,0
1110,35.21860993,126.84470673,0
280,35.21919321,126.8454011,0
266,35.21905436,126.84640102,0
52,35.21919321,126.8454011,0
1351,35.21916543,126.84515112,0
1101,35.2203042,126.84540107,0
47,35.21860993,126.84470673,0
229,35.21980426,126.84581772,0
1649,35.21944319,126.8457344,0
647,35.21980425,126.84542886,0
265,35.2203042,126.84540107,0
1322,35.21944319,126.8457344,0
1144,35.21860993,126.84470673,0
1145,35.21913768,126.84623436,0
303,35.21916544,126.84578996,0
1478,35.21916544,126.84578996,0
302,35.21916544,126.84578996,0
301,35.21916544,126.84578996,0
310,35.2203042,126.84540107,0
1246,35.21908213,126.84656767,0
1243,35.21860993,126.84470673,0
689,35.21860993,126.84470673,0
1228,35.21944319,126.8457344,0
1225,35.21913768,126.84623436,0
1224,35.21860993,126.84470673,0
201,35.21913768,126.84623436,0
296,35.21860993,126.84470673,0
1545,35.2182211,126.84562333,0
295,35.21919321,126.8454011,0
705,35.21860993,126.84470673,0
1181,35.21822111,126.84623438,0
471,35.21944319,126.8457344,0
1074,35.2182211,126.84562333,0
151,35.21860993,126.84470673,0
1510,35.21860993,126.84470673,0
422,35.21822108,126.84426234,0
1034,35.21908213,126.84656767,0
761,35.21980426,126.84573439,0
174,35.22041529,126.84537329,0
221,35.21980425,126.84542886,0
187,35.2203042,126.84573438,0
1494,35.21944319,126.8457344,0
13,35.21916544,126.84578996,0
1489,35.2203042,126.84540107,0
995,35.2203042,126.84540107,0
6,35.21860993,126.84470673,0
5,35.21944319,126.8457344,0
3,35.2182211,126.84562333,0
572,35.21860993,126.84470673,0
793,35.21860993,126.84470673,0
617,35.2182211,126.84562333,0
425,35.21913768,126.84623436,0
685,35.21860993,126.84470673,0
1052,35.21860993,126.84470673,0
1381,35.21860993,126.84470673,0
961,35.21916543,126.84515112,0
976,35.21976445092885,126.84648168850616,0
1043,35.21822111,126.84623438,0
1046,35.21860993,126.84470673,0
462,35.21522152,126.85042853,1
708,35.21536039,126.85020633,1
1559,35.21522152,126.85042853,1
500,35.21522152,126.85042853,1
1572,35.21536038,126.84970637,1
1395,35.21530483,126.84923419,1
510,35.21522152,126.85042853,1
1425,35.214401,126.849074,1
862,35.21530483,126.84923419,1
148,35.21533261,126.8496786,1
461,35.21522152,126.85042853,1
861,35.21536039,126.85020633,1
857,35.2153326,126.84901199,1
299,35.21536039,126.85020633,1
166,35.21547146,126.84837315,1
1382,35.21536039,126.85020633,1
1605,35.2153326,126.84901199,1
1371,35.2153326,126.84901199,1
1647,35.21547146,126.84837315,1
1651,35.2159578,126.8503396,1
497,35.21527705,126.84920642,1
526,35.21530483,126.84923419,1
463,35.21516597,126.85006746,1
1332,35.21547146,126.84837315,1
270,35.214401,126.849074,1
195,35.21536038,126.84970637,1
881,35.21536038,126.84970637,1
273,35.2152493,126.85042853,1
274,35.21544368,126.84834538,1
886,35.21536039,126.85020633,1
1564,35.21530483,126.84923419,1
1323,35.2148882,126.84909533,1
812,35.21533261,126.8496786,1
863,35.21527705,126.84920642,1
757,35.21544368,126.84834538,1
890,35.2153326,126.84901199,1
855,35.2153326,126.84901199,1
1586,35.21536039,126.85020633,1
1317,35.21536038,126.84970637,1
1316,35.21461045,126.84848428,1
1313,35.215530329349896,126.84971411487716,1
285,35.2136939,126.84934533,1
464,35.21516597,126.85006746,1
715,35.21516597,126.85006746,1
1307,35.21530483,126.84923419,1
1616,35.21461045,126.84848428,1
993,35.21436048,126.84845651,1
539,35.21527705,126.84920642,1
110,35.21394387,126.84923423,1
1124,35.2159578,126.8503396,1
657,35.21522152,126.85042853,1
1103,35.2136348,126.8493751,1
1102,35.21366612,126.84934533,1
1952,35.21438826,126.84909534,1
1089,35.21366612,126.84934533,1
372,35.2141105,126.84837319,1
645,35.21522152,126.85042853,1
644,35.2152493,126.85042853,1
432,35.21522152,126.85042853,1
1977,35.21544368,126.84834538,1
1065,35.21411052,126.84965085,1
838,35.2159578,126.8503396,1
61,35.2136348,126.8493751,1
1982,35.21438826,126.84909534,1
970,35.2153326,126.84901199,1
391,35.21436048,126.84845651,1
564,35.21461045,126.84848428,1
2006,35.21544368,126.84834538,1
2009,35.21544368,126.84834538,1
400,35.2153326,126.84901199,1
2020,35.21438826,126.84909534,1
14,35.2153326,126.84901199,1
2024,35.21438826,126.84909534,1
988,35.21527705,126.84920642,1
991,35.21536039,126.85020633,1
1002,35.21527705,126.84920642,1
593,35.2153326,126.84901199,1
994,35.21436048,126.84845651,1
625,35.21522152,126.85042853,1
1919,35.21522152,126.85042853,1
1127,35.214401,126.849074,1
205,35.21527705,126.84920642,1
936,35.21522152,126.85042853,1
935,35.21522152,126.85042853,1
933,35.2152493,126.85042853,1
1185,35.2148882,126.84909533,1
924,35.21516597,126.85006746,1
329,35.21597144,126.85031741,1
326,35.2153326,126.84901199,1
856,35.2153326,126.84901199,1
902,35.21530483,126.84923419,1
98,35.2152493,126.85042853,1
680,35.21536038,126.84970637,1
1806,35.21438826,126.84909534,1
901,35.21536039,126.85020633,1
814,35.21597143,126.84976191,1
895,35.21538817,126.85020633,1
336,35.21536039,126.85020633,1
441,35.21516597,126.85006746,1
937,35.21516597,126.85006746,1
1873,35.21544368,126.84834538,1
1136,35.2153326,126.84901199,1
1910,35.21536039,126.85020633,1
946,35.21522152,126.85042853,1
1902,35.21527705,126.84920642,1
938,35.21516597,126.85006746,1
1901,35.21527705,126.84920642,1
659,35.21516597,126.85006746,1
660,35.21516597,126.85006746,1
662,35.21461045,126.84848428,1
940,35.21458267,126.84848428,1
911,35.2148882,126.84909533,1
482,35.21605473,126.84828981,2
233,35.2160825,126.84828981,2
854,35.2167491,126.84901195,2
484,35.2187096,126.8485095,2
483,35.21662044938853,126.84859058480988,2
225,35.21694354,126.84976188,2
1438,35.21605473,126.84828981,2
1261,35.21605473,126.84828981,2
1399,35.21662044938853,126.84859058480988,2
1011,35.21869332,126.84851195,2
986,35.21644358,126.84901196,2
402,35.21624918,126.85037296,2
1060,35.21694354,126.84976188,2
1067,35.21694354,126.84976188,2
434,35.21662044938853,126.84859058480988,2
1083,35.21694354,126.84976188,2
362,35.21694353,126.84901195,2
440,35.21694354,126.84976188,2
1130,35.21694353,126.84901195,2
345,35.21694353,126.84898417,2
324,35.21694353,126.84901195,2
1206,35.21694354,126.84976188,2
1419,35.21605473,126.84828981,2
1220,35.21605473,126.84828981,2
1289,35.21633248,126.84898419,2
294,35.21605473,126.84828981,2
1325,35.21694354,126.84976188,2
1327,35.2167491,126.84901195,2
271,35.21694354,126.84976188,2
1345,35.21633248,126.84898419,2
872,35.21694354,126.84976188,2
1365,35.2167491,126.84901195,2
260,35.2167491,126.84901195,2
867,35.21694354,126.84976188,2
1384,35.21694354,126.84976188,2
866,35.21624918,126.85037296,2
475,35.21694354,126.84976188,2
1254,35.21694353,126.84901195,2
491,35.21822115,126.84834531,2
582,35.21694354,126.84976188,2
1485,35.21852667,126.84842863,2
505,35.21605473,126.84828981,2
519,35.21822115,126.84834531,2
763,35.2160825,126.84831759,2
1618,35.21624918,126.85037296,2
1857,35.217441613785105,126.85076467828232,2
706,35.21633248,126.84898419,2
546,35.21812324961763,126.84851697107749,2
511,35.21633248,126.84898419,2
709,35.21694354,126.84976188,2
664,35.2160825,126.84828981,2
1654,35.21605473,126.84828981,2
130,35.21694354,126.84976188,2
748,35.21605473,126.84828981,2
104,35.21694354,126.84976188,2
1659,35.21662044938853,126.84859058480988,2
747,35.21605473,126.84828981,2
65,35.21852667,126.84842863,2
738,35.21633248,126.84898419,2
746,35.21605473,126.84828981,2
744,35.2160825,126.84828981,2
1694,35.21605473,126.84828981,2
635,35.21812324961763,126.84851697107749,2
701,35.2167491,126.84901195,2
739,35.21633248,126.84898419,2
815,35.21605473,126.84828981,2
609,35.21694353,126.84901195,2
567,35.2160825,126.84828981,2
1512,35.21605473,126.84828981,2
568,35.21694354,126.84976188,2
1566,35.21633248,126.84898419,2
96,35.21605473,126.84828981,2
1507,35.21812324961763,126.84851697107749,2
1587,35.21605473,126.84828981,2
811,35.2167491,126.84901195,2
608,35.21638806,126.85067848,2
28,35.21812324961763,126.84851697107749,2
675,35.21274938,126.83851298,3
72,35.21288827,126.83931846,3
1140,35.21288827,126.83931846,3
1908,35.21230498,126.83826302,3
1904,35.21288826,126.83892961,3
1808,35.21291602,126.838263,3
1882,35.21288826,126.83892961,3
1854,35.21291602,126.8380408,3
1852,35.21230498,126.83826302,3
674,35.21208278,126.83812415,3
1874,35.21288826,126.83892961,3
1829,35.21288826,126.83892961,3
1831,35.2129438,126.838263,3
544,35.21271132978568,126.83825828846494,3
338,35.21269383,126.83829078,3
1173,35.21269383,126.83829078,3
665,35.21288827,126.83931846,3
1191,35.21269383,126.83829078,3
452,35.21288827,126.83931846,3
1836,35.21288826,126.83892961,3
1850,35.21288826,126.83892961,3
1219,35.21338823,126.84056834,3
1856,35.21288826,126.83892961,3
835,35.21272162,126.83967955,3
1916,35.2129438,126.838263,3
1980,35.21291602,126.8380408,3
1987,35.21291602,126.8380408,3
387,35.21208278,126.83812415,3
1992,35.2129438,126.838263,3
29,35.21274938,126.83851298,3
1996,35.2129438,126.838263,3
36,35.21274938,126.83851298,3
395,35.21269383,126.83829078,3
2005,35.21291602,126.8380408,3
421,35.21274938,126.83851298,3
2011,35.21291602,126.8380408,3
1010,35.21288827,126.83931846,3
415,35.21274938,126.83851298,3
569,35.21172174,126.8399851,3
1040,35.2128791,126.8393209,3
350,35.21172174,126.8399851,3
638,35.2128791,126.8393209,3
41,35.21291455194878,126.8388974140791,3
1917,35.21288826,126.83892961,3
1126,35.21272162,126.83967955,3
1928,35.2129438,126.838263,3
1929,35.21288826,126.83892961,3
1943,35.21288826,126.83892961,3
1948,35.21288826,126.83892961,3
640,35.21172174,126.84001288,3
1950,35.21244387,126.8390685,3
1953,35.21291602,126.8380408,3
